domain,category,severity,threat_sources
0019-coinbase.com,PHISHING,3,brand-imitation
001verifyrbcacc0unt1.info,PHISHING,3,brand-imitation
005932coinbase.com,PHISHING,3,brand-imitation
008896-coinbase.com,PHISHING,3,brand-imitation
009586-coinbase.com,PHISHING,3,brand-imitation
00mcoinbase3ethxrp.com,PHISHING,3,brand-imitation
0123winlogin.com,PHISHING,3,brand-imitation
017314coinbase.com,PHISHING,3,brand-imitation
017betloginj.com,PHISHING,3,brand-imitation
019182coinbase.com,PHISHING,3,brand-imitation
01bm0-verifymyl0gin.info,PHISHING,3,brand-imitation
01bmoverifymylogin.com,PHISHING,3,brand-imitation
01dellsecured.click,PHISHING,3,brand-imitation
01l0gin-securemybm0.info,PHISHING,3,brand-imitation
01myaccount1-overcharge1bill.info,PHISHING,3,brand-imitation
01verify-bm0acc0unt1.info,PHISHING,3,brand-imitation
01verify-clientacc0unt.info,PHISHING,3,brand-imitation
02-dell-secure.help,PHISHING,3,brand-imitation
0218652-coinbase.com,PHISHING,3,brand-imitation
026439coinbase.com,PHISHING,3,brand-imitation
02dellsecure.icu,PHISHING,3,brand-imitation
042704coinbase.com,PHISHING,3,brand-imitation
058230coinbase.com,PHISHING,3,brand-imitation
06updatelive.xyz,PHISHING,3,brand-imitation
0700betlogin.com,PHISHING,3,brand-imitation
075950t-coinbase.com,PHISHING,3,brand-imitation
07secure-sunath65.site,PHISHING,3,brand-imitation
08liv3zorn-update3.com,PHISHING,3,brand-imitation
08updatedlive.com,PHISHING,3,brand-imitation
094575coinbase.com,PHISHING,3,brand-imitation
094849coinbase.com,PHISHING,3,brand-imitation
095849coinbase.com,PHISHING,3,brand-imitation
098249coinbase.com,PHISHING,3,brand-imitation
098304-coinbase.com,PHISHING,3,brand-imitation
098654coinbase.com,PHISHING,3,brand-imitation
09account.org,PHISHING,3,brand-imitation
09viplogin.com,PHISHING,3,brand-imitation
0auth2-myaccount.com,PHISHING,3,brand-imitation
0auth2-myaccount.help,PHISHING,3,brand-imitation
0auth2-myaccount.info,PHISHING,3,brand-imitation
0chainvault.live,PHISHING,3,brand-imitation
0cryptomarkettrends.com,PHISHING,3,brand-imitation
0cryptonewsdigest.com,PHISHING,3,brand-imitation
0cryptopulsex.com,PHISHING,3,brand-imitation
0fastcryptohub.com,PHISHING,3,brand-imitation
0ffice-loginmicrosoftoutlookonlineauths845855.org,PHISHING,3,brand-imitation
0ffice-microsoftonedriveonlineauthlogin.com,PHISHING,3,brand-imitation
0hypercryptox.com,PHISHING,3,brand-imitation
0k365login.com,PHISHING,3,brand-imitation
0kjcoin-account.com,PHISHING,3,brand-imitation
0nchaincrypto.com,PHISHING,3,brand-imitation
0nedrive-secured.info,PHISHING,3,brand-imitation
0nftmarketplaceinfo.com,PHISHING,3,brand-imitation
0nlinerep0rts-reviewsupdate.click,PHISHING,3,brand-imitation
0quantumcryptox.com,PHISHING,3,brand-imitation
0rrlogin.com,PHISHING,3,brand-imitation
0secure-hlp-ref-cu.online,PHISHING,3,brand-imitation
0securequantai.com,PHISHING,3,brand-imitation
0securewalletreview.com,PHISHING,3,brand-imitation
0tokeninvestor.com,PHISHING,3,brand-imitation
0tokenize.xyz,PHISHING,3,brand-imitation
0x0claims.com,PHISHING,3,brand-imitation
0x0tokens.lol,PHISHING,3,brand-imitation
0x3lbp-updatewasl.lat,PHISHING,3,brand-imitation
0xaitoken.xyz,PHISHING,3,brand-imitation
0xbitcoin.foundation,PHISHING,3,brand-imitation
0xnft2xrfsdg6iyjret436ijynjrh34214rfsafcu8k6f.com,PHISHING,3,brand-imitation
0xnfts.com,PHISHING,3,brand-imitation
1-bitcoin.contact,PHISHING,3,brand-imitation
1-wallet-release.lol,PHISHING,3,brand-imitation
1-win-official.com,PHISHING,3,brand-imitation
1001totologin.com,PHISHING,3,brand-imitation
100bitcoinhomepage.com,PHISHING,3,brand-imitation
100viplogin.com,PHISHING,3,brand-imitation
100viploginvip.com,PHISHING,3,brand-imitation
101931-coinbase.com,PHISHING,3,brand-imitation
101bitcoins.com,PHISHING,3,brand-imitation
101tigerlogin.com,PHISHING,3,brand-imitation
101update-bm0inf0s.info,PHISHING,3,brand-imitation
101verifyrbc-l0gin.info,PHISHING,3,brand-imitation
1023829-coinbase.com,PHISHING,3,brand-imitation
1024token.click,PHISHING,3,brand-imitation
1024token.club,PHISHING,3,brand-imitation
1024token.one,PHISHING,3,brand-imitation
1041thebridge.com,PHISHING,3,brand-imitation
105982-coinbase.com,PHISHING,3,brand-imitation
109221coinbase.com,PHISHING,3,brand-imitation
109485coinbase.com,PHISHING,3,brand-imitation
10bestcrypto.com,PHISHING,3,brand-imitation
10bitcoinhomepage.com,PHISHING,3,brand-imitation
10brllogink.com,PHISHING,3,brand-imitation
10ebrisbuyerbridge.click,PHISHING,3,brand-imitation
10ebrisbuyerbridge.lat,PHISHING,3,brand-imitation
10ebrisbuyerbridge.sbs,PHISHING,3,brand-imitation
10ebrisbuyerbridge.xyz,PHISHING,3,brand-imitation
10ebrisretailbridge.click,PHISHING,3,brand-imitation
10ebrisretailbridge.lat,PHISHING,3,brand-imitation
10ebrisretailbridge.xyz,PHISHING,3,brand-imitation
10login.com,PHISHING,3,brand-imitation
10minteardown.com,PHISHING,3,brand-imitation
10yearsnft.xyz,PHISHING,3,brand-imitation
110verifymylogin-bm0.info,PHISHING,3,brand-imitation
111betlogin.net,PHISHING,3,brand-imitation
112134-coinbase.com,PHISHING,3,brand-imitation
112418coinbase.com,PHISHING,3,brand-imitation
116betloginj.com,PHISHING,3,brand-imitation
1182lucklogin.com,PHISHING,3,brand-imitation
11842-coinbase.com,PHISHING,3,brand-imitation
1185793-coinbase.com,PHISHING,3,brand-imitation
1188smsverify.com,PHISHING,3,brand-imitation
119291-coinbase.com,PHISHING,3,brand-imitation
119betloginj.com,PHISHING,3,brand-imitation
11alogink.com,PHISHING,3,brand-imitation
11betapplogin.com,PHISHING,3,brand-imitation
11betloginvip.com,PHISHING,3,brand-imitation
11betloginwin.com,PHISHING,3,brand-imitation
11bolalogin.com,PHISHING,3,brand-imitation
11cclogink.com,PHISHING,3,brand-imitation
11login.com,PHISHING,3,brand-imitation
11pglogink.com,PHISHING,3,brand-imitation
11qlogink.com,PHISHING,3,brand-imitation
11ttlogink.com,PHISHING,3,brand-imitation
120betloginj.com,PHISHING,3,brand-imitation
120vault.com,PHISHING,3,brand-imitation
121accountantsukltd.org,PHISHING,3,brand-imitation
121crypto.com,PHISHING,3,brand-imitation
122betloginj.com,PHISHING,3,brand-imitation
1235876-coinbase.com,PHISHING,3,brand-imitation
123bcasinologin.com,PHISHING,3,brand-imitation
123betlogin.net,PHISHING,3,brand-imitation
123blogincasino.com,PHISHING,3,brand-imitation
123blogingame.com,PHISHING,3,brand-imitation
123bloginplay.com,PHISHING,3,brand-imitation
123blogintop.com,PHISHING,3,brand-imitation
123cashlogin.com,PHISHING,3,brand-imitation
123dzologinvip.com,PHISHING,3,brand-imitation
123gacorlogin.com,PHISHING,3,brand-imitation
123insuranceclaim.com,PHISHING,3,brand-imitation
123kfclogin.com,PHISHING,3,brand-imitation
123movies-official-website.cfd,PHISHING,3,brand-imitation
123mysupport.com,PHISHING,3,brand-imitation
123playlogin.com,PHISHING,3,brand-imitation
123wiplogin.com,PHISHING,3,brand-imitation
124867-coinbase.com,PHISHING,3,brand-imitation
124983-crypto.com,PHISHING,3,brand-imitation
1257connecticut.com,PHISHING,3,brand-imitation
125872-coinbase.com,PHISHING,3,brand-imitation
125aetjwtjofficial.icu,PHISHING,3,brand-imitation
12634891-coinbase.com,PHISHING,3,brand-imitation
126759-coinbase.com,PHISHING,3,brand-imitation
12842-coinbase.com,PHISHING,3,brand-imitation
128sportslogin.blog,PHISHING,3,brand-imitation
128sportslogin.click,PHISHING,3,brand-imitation
128sportslogin.com,PHISHING,3,brand-imitation
128sportslogin.cyou,PHISHING,3,brand-imitation
128sportslogin.icu,PHISHING,3,brand-imitation
128sportslogin.life,PHISHING,3,brand-imitation
128sportslogin.xyz,PHISHING,3,brand-imitation
12922-coinbase.com,PHISHING,3,brand-imitation
129682-coinbase.com,PHISHING,3,brand-imitation
129873coinbase.com,PHISHING,3,brand-imitation
12betlinklogin.com,PHISHING,3,brand-imitation
12betlogingame.com,PHISHING,3,brand-imitation
12betloginlink.com,PHISHING,3,brand-imitation
12betloginslot.com,PHISHING,3,brand-imitation
12playlogin.net,PHISHING,3,brand-imitation
12playloginvip.com,PHISHING,3,brand-imitation
12vault.com,PHISHING,3,brand-imitation
12verify.click,PHISHING,3,brand-imitation
130081-coinbase.com,PHISHING,3,brand-imitation
130549-coinbase.com,PHISHING,3,brand-imitation
131559coinbase.com,PHISHING,3,brand-imitation
131974t-coinbase.com,PHISHING,3,brand-imitation
1346-coinbase.com,PHISHING,3,brand-imitation
1357985-coinbase.com,PHISHING,3,brand-imitation
1367238-coinbase.com,PHISHING,3,brand-imitation
138262-coinbase.com,PHISHING,3,brand-imitation
138login.com,PHISHING,3,brand-imitation
13freightlogindonesia.com,PHISHING,3,brand-imitation
140064-coinbase.com,PHISHING,3,brand-imitation
140749-coinbase.com,PHISHING,3,brand-imitation
14178coinbase.com,PHISHING,3,brand-imitation
142957-coinbase.com,PHISHING,3,brand-imitation
1432-claim.sbs,PHISHING,3,brand-imitation
1435823-coinbase.com,PHISHING,3,brand-imitation
14466bridgewatercrossings.info,PHISHING,3,brand-imitation
1448272-coinbase.com,PHISHING,3,brand-imitation
148282-coinbase.com,PHISHING,3,brand-imitation
14889356-coinbase.com,PHISHING,3,brand-imitation
150544coinbase.com,PHISHING,3,brand-imitation
150555coinbase.com,PHISHING,3,brand-imitation
150901-coinbase.com,PHISHING,3,brand-imitation
150942-coinbase.com,PHISHING,3,brand-imitation
151935-cbvault.com,PHISHING,3,brand-imitation
15229farmstand.site,PHISHING,3,brand-imitation
152775-coinbase.com,PHISHING,3,brand-imitation
1539030-coinbase.com,PHISHING,3,brand-imitation
155152-coinbase.com,PHISHING,3,brand-imitation
1558903-coinbase.com,PHISHING,3,brand-imitation
1567375-coinbase.com,PHISHING,3,brand-imitation
158023-coinbase.com,PHISHING,3,brand-imitation
15833-cbvault.com,PHISHING,3,brand-imitation
159886coinbase.com,PHISHING,3,brand-imitation
15winlogink.com,PHISHING,3,brand-imitation
161betloginj.com,PHISHING,3,brand-imitation
1628934-coinbase.com,PHISHING,3,brand-imitation
16423306-coinbase.com,PHISHING,3,brand-imitation
1654235-coinbase.com,PHISHING,3,brand-imitation
165917-coinbase.com,PHISHING,3,brand-imitation
166winlogink.com,PHISHING,3,brand-imitation
167282-coinbase.com,PHISHING,3,brand-imitation
1673383-coinbase.com,PHISHING,3,brand-imitation
167vault.com,PHISHING,3,brand-imitation
168flogin.com,PHISHING,3,brand-imitation
168pglogin.com,PHISHING,3,brand-imitation
169281-coinbase.com,PHISHING,3,brand-imitation
169876-coinbase.com,PHISHING,3,brand-imitation
16betloginj.com,PHISHING,3,brand-imitation
16dewalogin.com,PHISHING,3,brand-imitation
16farm.xyz,PHISHING,3,brand-imitation
170143-crypto.com,PHISHING,3,brand-imitation
1701503coinbase.com,PHISHING,3,brand-imitation
171976coinbase.com,PHISHING,3,brand-imitation
171976v-coinbase.com,PHISHING,3,brand-imitation
172348-coinbase.com,PHISHING,3,brand-imitation
173894-coinbase.com,PHISHING,3,brand-imitation
173954-coinbase.com,PHISHING,3,brand-imitation
1758529-coinbase.com,PHISHING,3,brand-imitation
176853-coinbase.com,PHISHING,3,brand-imitation
1768532-coinbase.com,PHISHING,3,brand-imitation
178280coinbase.com,PHISHING,3,brand-imitation
1782872-coinbase.com,PHISHING,3,brand-imitation
178490-coinbase.com,PHISHING,3,brand-imitation
1785263-coinbase.com,PHISHING,3,brand-imitation
1785726-coinbase.com,PHISHING,3,brand-imitation
1785763-coinbase.com,PHISHING,3,brand-imitation
1785964-coinbase.com,PHISHING,3,brand-imitation
178633a-coinbase.com,PHISHING,3,brand-imitation
178652coinbase.com,PHISHING,3,brand-imitation
1787683-coinbase.com,PHISHING,3,brand-imitation
1791-mail-support.buzz,PHISHING,3,brand-imitation
1791-mail-support.sbs,PHISHING,3,brand-imitation
